nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 25
Epoch: 10/3000, train loss: 0.080417, graph type: grid, num_layer: 4, hidden: 128
Epoch: 20/3000, train loss: 0.040076, graph type: grid, num_layer: 4, hidden: 128
Epoch: 30/3000, train loss: 0.027815, graph type: grid, num_layer: 4, hidden: 128
Epoch: 40/3000, train loss: 0.059010, graph type: grid, num_layer: 4, hidden: 128
Epoch: 50/3000, train loss: 0.073457, graph type: grid, num_layer: 4, hidden: 128
Epoch: 60/3000, train loss: 0.065353, graph type: grid, num_layer: 4, hidden: 128
Epoch: 70/3000, train loss: 0.045748, graph type: grid, num_layer: 4, hidden: 128
Epoch: 80/3000, train loss: 0.060457, graph type: grid, num_layer: 4, hidden: 128
Epoch: 90/3000, train loss: 0.038049, graph type: grid, num_layer: 4, hidden: 128
Epoch: 100/3000, train loss: 0.032885, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 110/3000, train loss: 0.058115, graph type: grid, num_layer: 4, hidden: 128
Epoch: 120/3000, train loss: 0.055398, graph type: grid, num_layer: 4, hidden: 128
Epoch: 130/3000, train loss: 0.057798, graph type: grid, num_layer: 4, hidden: 128
Epoch: 140/3000, train loss: 0.049170, graph type: grid, num_layer: 4, hidden: 128
Epoch: 150/3000, train loss: 0.060714, graph type: grid, num_layer: 4, hidden: 128
Epoch: 160/3000, train loss: 0.057267, graph type: grid, num_layer: 4, hidden: 128
Epoch: 170/3000, train loss: 0.031106, graph type: grid, num_layer: 4, hidden: 128
Epoch: 180/3000, train loss: 0.059067, graph type: grid, num_layer: 4, hidden: 128
Epoch: 190/3000, train loss: 0.026570, graph type: grid, num_layer: 4, hidden: 128
Epoch: 200/3000, train loss: 0.060299, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 210/3000, train loss: 0.028400, graph type: grid, num_layer: 4, hidden: 128
Epoch: 220/3000, train loss: 0.032528, graph type: grid, num_layer: 4, hidden: 128
Epoch: 230/3000, train loss: 0.030024, graph type: grid, num_layer: 4, hidden: 128
Epoch: 240/3000, train loss: 0.068218, graph type: grid, num_layer: 4, hidden: 128
Epoch: 250/3000, train loss: 0.061600, graph type: grid, num_layer: 4, hidden: 128
Epoch: 260/3000, train loss: 0.062603, graph type: grid, num_layer: 4, hidden: 128
Epoch: 270/3000, train loss: 0.057161, graph type: grid, num_layer: 4, hidden: 128
Epoch: 280/3000, train loss: 0.033987, graph type: grid, num_layer: 4, hidden: 128
Epoch: 290/3000, train loss: 0.067240, graph type: grid, num_layer: 4, hidden: 128
Epoch: 300/3000, train loss: 0.040683, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 310/3000, train loss: 0.059828, graph type: grid, num_layer: 4, hidden: 128
Epoch: 320/3000, train loss: 0.066632, graph type: grid, num_layer: 4, hidden: 128
Epoch: 330/3000, train loss: 0.065537, graph type: grid, num_layer: 4, hidden: 128
Epoch: 340/3000, train loss: 0.062172, graph type: grid, num_layer: 4, hidden: 128
Epoch: 350/3000, train loss: 0.059781, graph type: grid, num_layer: 4, hidden: 128
Epoch: 360/3000, train loss: 0.071498, graph type: grid, num_layer: 4, hidden: 128
Epoch: 370/3000, train loss: 0.054401, graph type: grid, num_layer: 4, hidden: 128
Epoch: 380/3000, train loss: 0.054618, graph type: grid, num_layer: 4, hidden: 128
Epoch: 390/3000, train loss: 0.047734, graph type: grid, num_layer: 4, hidden: 128
Epoch: 400/3000, train loss: 0.031341, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 410/3000, train loss: 0.076094, graph type: grid, num_layer: 4, hidden: 128
Epoch: 420/3000, train loss: 0.060787, graph type: grid, num_layer: 4, hidden: 128
Epoch: 430/3000, train loss: 0.059001, graph type: grid, num_layer: 4, hidden: 128
Epoch: 440/3000, train loss: 0.050231, graph type: grid, num_layer: 4, hidden: 128
Epoch: 450/3000, train loss: 0.046643, graph type: grid, num_layer: 4, hidden: 128
Epoch: 460/3000, train loss: 0.064680, graph type: grid, num_layer: 4, hidden: 128
Epoch: 470/3000, train loss: 0.026622, graph type: grid, num_layer: 4, hidden: 128
Epoch: 480/3000, train loss: 0.071772, graph type: grid, num_layer: 4, hidden: 128
