nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 3
Epoch: 10/3000, train loss: 0.567077, graph type: grid, num_layer: 4, hidden: 128
Epoch: 20/3000, train loss: 0.482671, graph type: grid, num_layer: 4, hidden: 128
Epoch: 30/3000, train loss: 0.521059, graph type: grid, num_layer: 4, hidden: 128
Epoch: 40/3000, train loss: 0.483020, graph type: grid, num_layer: 4, hidden: 128
Epoch: 50/3000, train loss: 0.500032, graph type: grid, num_layer: 4, hidden: 128
Epoch: 60/3000, train loss: 0.459699, graph type: grid, num_layer: 4, hidden: 128
Epoch: 70/3000, train loss: 0.476190, graph type: grid, num_layer: 4, hidden: 128
Epoch: 80/3000, train loss: 0.448695, graph type: grid, num_layer: 4, hidden: 128
Epoch: 90/3000, train loss: 0.485756, graph type: grid, num_layer: 4, hidden: 128
Epoch: 100/3000, train loss: 0.451820, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 110/3000, train loss: 0.440927, graph type: grid, num_layer: 4, hidden: 128
Epoch: 120/3000, train loss: 0.474532, graph type: grid, num_layer: 4, hidden: 128
Epoch: 130/3000, train loss: 0.482539, graph type: grid, num_layer: 4, hidden: 128
Epoch: 140/3000, train loss: 0.442482, graph type: grid, num_layer: 4, hidden: 128
Epoch: 150/3000, train loss: 0.450720, graph type: grid, num_layer: 4, hidden: 128
Epoch: 160/3000, train loss: 0.429652, graph type: grid, num_layer: 4, hidden: 128
Epoch: 170/3000, train loss: 0.467259, graph type: grid, num_layer: 4, hidden: 128
Epoch: 180/3000, train loss: 0.476460, graph type: grid, num_layer: 4, hidden: 128
Epoch: 190/3000, train loss: 0.464940, graph type: grid, num_layer: 4, hidden: 128
Epoch: 200/3000, train loss: 0.439695, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 210/3000, train loss: 0.440809, graph type: grid, num_layer: 4, hidden: 128
Epoch: 220/3000, train loss: 0.419961, graph type: grid, num_layer: 4, hidden: 128
Epoch: 230/3000, train loss: 0.442872, graph type: grid, num_layer: 4, hidden: 128
Epoch: 240/3000, train loss: 0.443910, graph type: grid, num_layer: 4, hidden: 128
Epoch: 250/3000, train loss: 0.478961, graph type: grid, num_layer: 4, hidden: 128
Epoch: 260/3000, train loss: 0.519154, graph type: grid, num_layer: 4, hidden: 128
Epoch: 270/3000, train loss: 0.467240, graph type: grid, num_layer: 4, hidden: 128
Epoch: 280/3000, train loss: 0.450725, graph type: grid, num_layer: 4, hidden: 128
Epoch: 290/3000, train loss: 0.439742, graph type: grid, num_layer: 4, hidden: 128
Epoch: 300/3000, train loss: 0.443216, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
